Título,Precio,Ubicación,Enlace
Local en arriendo,$5.120.000,"Quinta Camacho, Chapinero, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-1405890709-arriendo-de-locales-en-plazoleta-de-comidas-quinta-camacho-_JM#polycard_client=search-nordic&position=34&search_layout=grid&type=item&tracking_id=243f90e3-6fc8-4c4a-8981-b281d7c93796
Local en arriendo,$45.000.000,"La Candelaria, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-2072944218-local-comercial-en-arriendo-en-el-centro-de-bogota-_JM#polycard_client=search-nordic&position=35&search_layout=grid&type=item&tracking_id=243f90e3-6fc8-4c4a-8981-b281d7c93796
Local en arriendo,$1.200.000,"Santa Bárbara, Usaquén, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-1454933093-local-comercial-frente-a-unicentro-_JM#polycard_client=search-nordic&position=36&search_layout=grid&type=item&tracking_id=243f90e3-6fc8-4c4a-8981-b281d7c93796
Local en arriendo,$3.300.000,"La Castellana, Barrios Unidos, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-1369780965-se-arrienda-local-125mts-castellana-_JM#polycard_client=search-nordic&position=37&search_layout=grid&type=item&tracking_id=243f90e3-6fc8-4c4a-8981-b281d7c93796
Local en arriendo,$16.023.173,"Pontevedra, Pontevedra, Suba, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-2011748300-local-para-arriendo-en-pontevedra-4996-_JM#polycard_client=search-nordic&position=38&search_layout=grid&type=item&tracking_id=243f90e3-6fc8-4c4a-8981-b281d7c93796
Local en arriendo,$46.146.415,"Pontevedra, Pontevedra, Suba, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-1396494075-local-para-arriendo-en-pontevedra-4623-_JM#polycard_client=search-nordic&position=39&search_layout=grid&type=item&tracking_id=243f90e3-6fc8-4c4a-8981-b281d7c93796
Local en arriendo,$23.819.790,"Pontevedra, Pontevedra, Suba, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-1968565124-local-para-arriendo-en-pontevedra-4136-_JM#polycard_client=search-nordic&position=40&search_layout=grid&type=item&tracking_id=243f90e3-6fc8-4c4a-8981-b281d7c93796
Local en arriendo,$1.500.000,"Patio Bonito, Kennedy, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-1417105713-se-arrienda-local-en-kennedy-_JM#polycard_client=search-nordic&position=41&search_layout=grid&type=item&tracking_id=243f90e3-6fc8-4c4a-8981-b281d7c93796
Local en arriendo,$600.000,"Calle 72 #102-03, Alamos Norte, Engativa, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-1387105961-local-comercial-en-alamos-norte-_JM#polycard_client=search-nordic&position=42&search_layout=grid&type=item&tracking_id=243f90e3-6fc8-4c4a-8981-b281d7c93796
Local en arriendo,$4.500.000,"Sur - Bogotá, Tunjuelito, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-1421798969-local-en-arriendo-zona-sur-san-carlos-bogota-_JM#polycard_client=search-nordic&position=43&search_layout=grid&type=item&tracking_id=243f90e3-6fc8-4c4a-8981-b281d7c93796
Local en arriendo,$12.000.000,"El Chicó, Chapinero, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-2409796694-arriendo-local-sobre-la-calle-90-_JM#polycard_client=search-nordic&position=44&search_layout=grid&type=item&tracking_id=243f90e3-6fc8-4c4a-8981-b281d7c93796
Local en arriendo,$16.000.000,"Usaquén, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-2575874952-local-torre-samsung-ubicacion-aaa-_JM#polycard_client=search-nordic&position=45&search_layout=grid&type=item&tracking_id=243f90e3-6fc8-4c4a-8981-b281d7c93796
Local en arriendo,$147.000.000,"Usaquén, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-1371360619-local-todo-destino-unicentro-primer-piso-en-arriendo-_JM#polycard_client=search-nordic&position=46&search_layout=grid&type=item&tracking_id=243f90e3-6fc8-4c4a-8981-b281d7c93796
Local en arriendo,$20.000.000,"Timiza, Kennedy, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-2449590220-arriendo-local-cc-villa-del-rio-kennedy-_JM#polycard_client=search-nordic&position=47&search_layout=grid&type=item&tracking_id=243f90e3-6fc8-4c4a-8981-b281d7c93796
Local en arriendo,$37.965.000,"Santa Bárbara Occidental, Usaquén, Bogotá D.C.",https://inmueble.mercadolibre.com.co/MCO-2595615494-bogota-arriendo-local-en-santa-barbara-occidental-area-7539-mts-_JM#polycard_client=search-nordic&position=48&search_layout=grid&type=item&tracking_id=243f90e3-6fc8-4c4a-8981-b281d7c93796
